komentar,emosi,sentimen
"Menurut gw, kebetulan nongol terus di FYP, curious ama pendapat lain",Lainnya,
"Gak masuk akal sih, kalo rakyat kecil, pasti udah ditangkap tuh, tetap waspada guys 💪",Lainnya,
"Gue gak habis pikir, itu debt collector udah kayak preman, lagi rame nih",Lainnya,
"Asli serem, masih nunggu penjelasan dari pihak berwenang, cuma share aja",Lainnya,
"Menurut gw, masa kejadian kayak gitu ga ditindak?, sekian aja sih",Lainnya,
"Asli parah, semoga korban dapet keadilan 🙏, santai aja bacanya",Lainnya,
"Asli parah, fungsi polisi buat apa kalo gini?, gak ada maksud jelek",Lainnya,
"Gue setuju sih, pengen tau ending-nya gimana nanti, curious ama pendapat lain",Lainnya,
"Gak masuk akal sih, respect sama orang yang rekam dan sebarin videonya, semoga bermanfaat",Lainnya,
"Nyata banget ini, itu debt collector udah kayak preman, setuju gak?",Lainnya,
"Lo pernah liat video itu gak, kok bisa kejadian di depan mapolri?, peace all ✌️",Lainnya,
"Asli parah, semoga korban dapet bantuan hukum, peace all ✌️",Lainnya,
"Miris banget, parahnya bukan main, udah jatuh ditimpa kamera polisi, setuju gak?",Lainnya,
"Serius deh, fungsi polisi buat apa kalo gini?, santai aja bacanya",Lainnya,
"Fix banget, semoga korban dapet keadilan 🙏, sekian aja sih",Lainnya,
"Gak masuk akal sih, kok bisa diem aja sih? 😤, sekian aja sih",Lainnya,
"Baru ngeh deh, penting banget edukasi hukum ke masyarakat, lagi rame nih",Sedih,
"Fix banget, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, penasaran ama opini kalian",Lainnya,
"Asli parah, semoga Polri mau introspeksi, peace all ✌️",Lainnya,
"Lo pernah liat video itu gak, kita harus bareng-bareng jaga keadilan, sekilas pikiran aja",Lainnya,
"Gue baru kepikiran, tugas polisi bukan jadi kameramen, santai aja bacanya",Lainnya,
"Gokil sih, tugas polisi bukan jadi kameramen, ini opini pribadi",Lainnya,
"Fix banget, belum tau latar belakangnya, apa pendapat kalian?",Lainnya,
"Ini mah keterlaluan, debt collector liar makin berani karena dibiarin, penasaran ama opini kalian",Lainnya,
"Btw guys, lumayan viral nih kasusnya, semoga bermanfaat",Lainnya,
"Lo pernah liat video itu gak, ga tau harus bela siapa dulu, any thoughts?",Lainnya,
"Gue baru kepikiran, semoga Polri mau introspeksi, semoga bermanfaat",Lainnya,
"Serius deh, masih coba cerna kenapa gak ada yang bantu, sekilas pikiran aja",Lainnya,
"Gue setuju sih, jangan sampe kejadian kayak gini keulang lagi, sekilas pikiran aja",Lainnya,
"Lo pernah liat video itu gak, semoga korban dapet bantuan hukum, apa pendapat kalian?",Lainnya,
"Lo pernah liat video itu gak, bingung ama kronologinya, peace all ✌️",Lainnya,
"Gokil sih, pro kontra banget sih ini, gimana menurut lo?",Lainnya,
"Gue baru kepikiran, jangan sampe kejadian kayak gini keulang lagi, peace all ✌️",Lainnya,
"Miris banget, pengen tau ending-nya gimana nanti, let’s discuss",Lainnya,
"Serius deh, semoga ini jadi titik balik perubahan, semoga bermanfaat",Lainnya,
"Miris banget, itu debt collector udah kayak preman, gak ada maksud jelek",Lainnya,
"Fix banget, kok bisa diem aja sih? 😤, semoga bermanfaat",Lainnya,
"Sadar gak sih, malu banget ama instansi yang harusnya melindungi, let’s discuss",Lainnya,
"Gokil sih, semoga pelaku dan pembiar dihukum adil, setuju gak?",Lainnya,
"Lo pernah liat video itu gak, kok bisa kejadian di depan mapolri?, gak ada maksud jelek",Lainnya,
"Baru ngeh deh, jangan-jangan udah biasa diem aja?, curious ama pendapat lain",Lainnya,
"Gue gak habis pikir, belum jelas juga siapa yang bener, lagi rame nih",Lainnya,
"Lo pernah liat video itu gak, viral kayak gini penting biar dibuka matanya, gak ada maksud jelek",Lainnya,
"Btw guys, kita harus bareng-bareng jaga keadilan, no hate ya",Lainnya,
"Nyata banget ini, bingung ama kronologinya, any thoughts?",Lainnya,
"Btw guys, liat-liat dulu aja deh, apa pendapat kalian?",Lainnya,
"Ini mah keterlaluan, akhirnya banyak yang buka suara soal ini 👏, ini opini pribadi",Lainnya,
"Lo pernah liat video itu gak, bingung ama kronologinya, setuju gak?",Lainnya,
"Gue setuju sih, semoga korban dapet bantuan hukum, setuju gak?",Lainnya,
"Nyata banget ini, viral kayak gini penting biar dibuka matanya, apa pendapat kalian?",Lainnya,
"Gue setuju sih, ini kalo gak viral, bakalan hilang gitu aja, sekian aja sih",Lainnya,
"Lo pernah liat video itu gak, belum ngerti konteks lengkapnya, lagi rame nih",Lainnya,
"Lo pernah liat video itu gak, kebetulan nongol terus di FYP, sekian aja sih",Lainnya,
"Nyata banget ini, semoga korban dapet bantuan hukum, cmiiw ya",Lainnya,
"Menurut gw, mudah-mudahan jadi pelajaran buat semuanya, lagi rame nih",Lainnya,
"Gak masuk akal sih, ini bukan cuma salah pelaku, yang diem juga bersalah, ini opini pribadi",Lainnya,
"Menurut gw, liat-liat dulu aja deh, let’s discuss",Lainnya,
"Btw guys, kok bisa kejadian di depan mapolri?, cuma share aja",Lainnya,
"Gokil sih, semoga pelaku dihukum setimpal, setuju gak?",Lainnya,
"Kocak tapi miris, parahnya bukan main, udah jatuh ditimpa kamera polisi, cmiiw ya",Lainnya,
"Gue setuju sih, pengen tau ending-nya gimana nanti, sekilas pikiran aja",Lainnya,
"Nyata banget ini, penasaran sama klarifikasi dari pihak polisi, any thoughts?",Lainnya,
"Gokil sih, bener-bener kehilangan rasa aman sih, penasaran ama opini kalian",Sedih,
"Gue setuju sih, jangan-jangan udah biasa diem aja?, any thoughts?",Lainnya,
"Nyata banget ini, doain korban kuat dan sehat terus, lagi rame nih",Lainnya,
"Menurut gw, ini bukan cuma salah pelaku, yang diem juga bersalah, cmiiw ya",Lainnya,
"Baru ngeh deh, malu banget ama instansi yang harusnya melindungi, lagi rame nih",Lainnya,
"Gokil sih, penasaran sama klarifikasi dari pihak polisi, lagi rame nih",Lainnya,
"Gue gak habis pikir, kita bayar pajak buat ditontonin doang?, sekian aja sih",Lainnya,
"Baru ngeh deh, masyarakat gak boleh diam aja sih, curious ama pendapat lain",Lainnya,
"Lo pernah liat video itu gak, kalo rakyat kecil, pasti udah ditangkap tuh, curious ama pendapat lain",Lainnya,
"Gue setuju sih, kok bisa diem aja sih? 😤, ini opini pribadi",Lainnya,
"Anjir sumpah, belum ngerti konteks lengkapnya, setuju gak?",Marah,
"Asli parah, kita harus bareng-bareng jaga keadilan, penasaran ama opini kalian",Lainnya,
"Nyata banget ini, respect sama orang yang rekam dan sebarin videonya, good vibes only",Lainnya,
"Gokil sih, fungsi polisi buat apa kalo gini?, curious ama pendapat lain",Lainnya,
"Gokil sih, masa kejadian kayak gitu ga ditindak?, apa pendapat kalian?",Lainnya,
"Nyata banget ini, doain korban kuat dan sehat terus, sekilas pikiran aja",Lainnya,
"Menurut gw, jangan sampe kejadian kayak gini keulang lagi, no hate ya",Lainnya,
"Asli parah, polisinya malah nontonin, sumpah absurd, ini opini pribadi",Lainnya,
"Asli parah, bener-bener kehilangan rasa aman sih, tetap waspada guys 💪",Sedih,
"Gokil sih, rame banget debatnya di medsos, no hate ya",Lainnya,
"Gue gak habis pikir, masa kejadian kayak gitu ga ditindak?, gak ada maksud jelek",Lainnya,
"Fix banget, belum jelas juga siapa yang bener, cuma share aja",Lainnya,
"Miris banget, jangan takut speak up soal ketidakadilan, sekian aja sih",Takut,
"Gue baru kepikiran, kalo rakyat kecil, pasti udah ditangkap tuh, tetap waspada guys 💪",Lainnya,
"Ini mah keterlaluan, bingung ama kronologinya, sekilas pikiran aja",Lainnya,
"Bener juga ya, harusnya viral biar ditindak, tetap waspada guys 💪",Lainnya,
"Miris banget, semoga pelaku dihukum setimpal, santai aja bacanya",Lainnya,
"Menurut gw, kebetulan nongol terus di FYP, any thoughts?",Lainnya,
"Gue setuju sih, semoga korban dapet bantuan hukum, curious ama pendapat lain",Lainnya,
"Btw guys, lagi trending banget di explore, peace all ✌️",Lainnya,
"Miris banget, kita harus bareng-bareng jaga keadilan, penasaran ama opini kalian",Lainnya,
"Gak masuk akal sih, bingung ama kronologinya, gak ada maksud jelek",Lainnya,
"Asli serem, respect sama orang yang rekam dan sebarin videonya, apa pendapat kalian?",Lainnya,
"Serius deh, pengen tau ending-nya gimana nanti, apa pendapat kalian?",Lainnya,
"Bener juga ya, akhirnya banyak yang buka suara soal ini 👏, semoga bermanfaat",Lainnya,
"Gue setuju sih, masa kejadian kayak gitu ga ditindak?, penasaran ama opini kalian",Lainnya,
"Sadar gak sih, kita harus bareng-bareng jaga keadilan, semoga bermanfaat",Lainnya,
"Nyata banget ini, harusnya viral biar ditindak, setuju gak?",Lainnya,
"Fix banget, gak ngerti ama logika aparat sekarang, ini opini pribadi",Lainnya,
"Anjir sumpah, semoga pelaku dihukum setimpal, peace all ✌️",Marah,
"Anjir sumpah, kok bisa kejadian di depan mapolri?, no hate ya",Marah,
"Gue gak habis pikir, belum ngerti konteks lengkapnya, sekian aja sih",Lainnya,
"Bener juga ya, ini bukan cuma salah pelaku, yang diem juga bersalah, curious ama pendapat lain",Lainnya,
"Serius deh, liat-liat dulu aja deh, lagi rame nih",Lainnya,
"Asli parah, malu banget ama instansi yang harusnya melindungi, gak ada maksud jelek",Lainnya,
"Fix banget, tindakan kayak gini harusnya dilawan bareng-bareng, cmiiw ya",Lainnya,
"Gue setuju sih, bikin malu banget sih polisi cuma rekam doang, apa pendapat kalian?",Lainnya,
"Bener juga ya, ini bukan cuma salah pelaku, yang diem juga bersalah, any thoughts?",Lainnya,
"Asli serem, tindakan kayak gini harusnya dilawan bareng-bareng, sekilas pikiran aja",Lainnya,
"Miris banget, debt collector liar makin berani karena dibiarin, gak ada maksud jelek",Lainnya,
"Gak masuk akal sih, tugas polisi bukan jadi kameramen, sekilas pikiran aja",Lainnya,
"Ini mah keterlaluan, kok bisa diem aja sih? 😤, setuju gak?",Lainnya,
"Baru ngeh deh, kalo rakyat kecil, pasti udah ditangkap tuh, gimana menurut lo?",Lainnya,
"Lo pernah liat video itu gak, tugas polisi bukan jadi kameramen, any thoughts?",Lainnya,
"Gokil sih, kok bisa diem aja sih? 😤, curious ama pendapat lain",Lainnya,
"Gue setuju sih, harusnya viral biar ditindak, apa pendapat kalian?",Lainnya,
"Gue gak habis pikir, tindakan kayak gini harusnya dilawan bareng-bareng, sekian aja sih",Lainnya,
"Bener juga ya, bingung ama kronologinya, ini opini pribadi",Lainnya,
"Bener juga ya, debt collector liar makin berani karena dibiarin, lagi rame nih",Lainnya,
"Gue baru kepikiran, semoga pelaku dan pembiar dihukum adil, any thoughts?",Lainnya,
"Ini mah keterlaluan, miris banget lihat pembiaran kekerasan gitu, sekilas pikiran aja",Lainnya,
"Ini mah keterlaluan, ini bukan cuma salah pelaku, yang diem juga bersalah, gak ada maksud jelek",Lainnya,
"Gue setuju sih, jangan sampe kejadian kayak gini keulang lagi, semoga bermanfaat",Lainnya,
"Baru ngeh deh, harusnya viral biar ditindak, sekilas pikiran aja",Lainnya,
"Gue baru kepikiran, semoga institusi berbenah, setuju gak?",Lainnya,
"Gue gak habis pikir, semoga korban dapet keadilan 🙏, cuma share aja",Lainnya,
"Baru ngeh deh, debt collector liar makin berani karena dibiarin, tetap waspada guys 💪",Lainnya,
"Lo pernah liat video itu gak, itu debt collector udah kayak preman, tetap waspada guys 💪",Lainnya,
